CODDPT;CODCAN;CODSUBCOM;CODBURVOT;NBRINS;%ABS/INS;%BLCNUL/VOT;%EXP/VOT;BC-DLF;BC-DVD;BC-DVG;BC-FG;BC-FN;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP
18;15;1;0001;300;0.5066666666666667;0.02027027027027027;0.9797297297297297;0.0;0.0;0.0;0.19310344827586207;0.7517241379310344;0.32413793103448274;0.0;1.696551724137931;0.0;0.0;0.0
18;8;2;0001;155;0.45161290322580644;0.07058823529411765;0.9294117647058824;0.0;0.0;0.0;0.45569620253164556;1.6708860759493671;0.6455696202531646;0.0;3.4556962025316458;0.0;0.0;0.0
18;14;3;0001;1323;0.45351473922902497;0.05394190871369295;0.946058091286307;0.0;0.0;0.0;0.054093567251461985;0.1652046783625731;0.05701754385964912;0.0;0.2880116959064328;0.0;0.0;0.0
18;15;4;0001;801;0.5205992509363296;0.0546875;0.9453125;0.0;0.0;0.0;0.14049586776859505;0.36639118457300274;0.09917355371900827;0.0;0.5730027548209367;0.0;0.0;0.0
18;11;5;0001;744;0.5120967741935484;0.0743801652892562;0.9256198347107438;0.0;0.0;0.0;0.24404761904761904;0.40773809523809523;0.18154761904761904;0.0;0.8214285714285714;0.0;0.0;0.0
18;17;6;0001;213;0.49765258215962443;0.028037383177570093;0.9719626168224299;0.0;0.0;0.0;0.47115384615384615;1.0384615384615385;0.41346153846153844;0.0;2.355769230769231;0.0;0.0;0.0
18;10;7;0001;72;0.4722222222222222;0.02631578947368421;0.9736842105263158;0.0;0.0;0.0;1.5675675675675675;3.0;1.1081081081081081;0.0;4.8108108108108105;0.0;0.0;0.0
18;17;8;0001;361;0.49584487534626037;0.1043956043956044;0.8956043956043956;0.0;0.0;0.0;0.24539877300613497;1.0797546012269938;0.4049079754601227;0.0;1.1104294478527608;0.0;0.0;0.0
18;8;9;0001;239;0.47280334728033474;0.023809523809523808;0.9761904761904762;0.0;0.0;0.0;0.21138211382113822;1.08130081300813;0.3821138211382114;0.0;1.910569105691057;0.0;0.0;0.0
18;8;10;0001;163;0.3987730061349693;0.05102040816326531;0.9489795918367347;0.0;0.0;0.0;0.3548387096774194;0.978494623655914;0.3010752688172043;0.0;1.2795698924731183;0.0;0.0;0.0
18;1;11;0001;841;0.47443519619500596;0.027149321266968326;0.9728506787330317;0.0;0.0;0.0;0.03488372093023256;0.29767441860465116;0.09069767441860466;0.0;0.29069767441860467;0.0;0.0;0.0
18;1;11;0002;933;0.45980707395498394;0.023809523809523808;0.9761904761904762;0.0;0.0;0.0;0.016260162601626018;0.08130081300813008;0.022357723577235773;0.0;0.11788617886178862;0.0;0.0;0.0
18;2;12;0001;352;0.5198863636363636;0.04142011834319527;0.9585798816568047;0.0;0.0;0.0;0.2962962962962963;0.5555555555555556;0.1111111111111111;0.0;0.7592592592592593;0.0;0.0;0.0
18;9;13;0001;263;0.5551330798479087;0.05128205128205128;0.9487179487179487;0.0;0.0;0.0;0.09009009009009009;0.3783783783783784;0.07207207207207207;0.0;0.44144144144144143;0.0;0.0;0.0
18;16;14;0001;153;0.46405228758169936;0.012195121951219513;0.9878048780487805;0.0;0.0;0.0;0.49382716049382713;0.7160493827160493;0.48148148148148145;0.0;1.2345679012345678;0.0;0.0;0.0
18;1;15;0001;835;0.5173652694610779;0.04218362282878412;0.9578163771712159;0.0;0.0;0.0;0.09844559585492228;0.31865284974093266;0.14507772020725387;0.0;0.40932642487046633;0.0;0.0;0.0
18;1;15;0002;846;0.47044917257683216;0.044642857142857144;0.9553571428571429;0.0;0.0;0.0;0.1939252336448598;0.45794392523364486;0.11682242990654206;0.0;0.37616822429906543;0.0;0.0;0.0
18;1;15;0003;929;0.3756727664155005;0.041379310344827586;0.9586206896551724;0.0;0.0;0.0;0.030575539568345324;0.20863309352517986;0.06294964028776978;0.0;0.25539568345323743;0.0;0.0;0.0
18;1;15;0004;849;0.45111896348645464;0.045064377682403435;0.9549356223175965;0.0;0.0;0.0;0.020224719101123594;0.1101123595505618;0.033707865168539325;0.0;0.0853932584269663;0.0;0.0;0.0
18;1;15;0005;767;0.45632333767926986;0.06954436450839328;0.9304556354916067;0.0;0.0;0.0;0.002577319587628866;0.07731958762886598;0.03608247422680412;0.0;0.18041237113402062;0.0;0.0;0.0
18;14;16;0001;276;0.5471014492753623;0.056;0.944;0.0;0.0;0.2033898305084746;0.0;0.5084745762711864;0.4067796610169492;0.0;0.2542372881355932;0.0;0.0;0.0
18;9;17;0001;237;0.350210970464135;0.032467532467532464;0.9675324675324676;0.0;0.0;0.28187919463087246;0.0;1.6711409395973154;1.5503355704697988;0.0;1.0671140939597314;0.0;0.0;0.0
18;2;18;0001;1397;0.4881889763779528;0.04755244755244755;0.9524475524475524;0.0;0.0;0.030837004405286344;0.0;0.19383259911894274;0.302496328928047;0.0;0.37151248164464024;0.0;0.0;0.0
18;14;19;0001;360;0.44722222222222224;0.020100502512562814;0.9798994974874372;0.0;0.0;0.5128205128205128;0.0;0.4564102564102564;0.1794871794871795;0.0;0.15384615384615385;0.0;0.0;0.0
18;16;20;0001;671;0.4396423248882265;0.0425531914893617;0.9574468085106383;0.0;0.0;0.14722222222222223;0.0;0.25833333333333336;0.2222222222222222;0.0;0.13333333333333333;0.0;0.0;0.0
18;9;21;0001;218;0.3302752293577982;0.07534246575342465;0.9246575342465754;0.0;0.0;0.3037037037037037;0.0;0.6444444444444445;0.2962962962962963;0.0;0.43703703703703706;0.0;0.0;0.0
