;BC-FN;BC-UD;BC-SOC;BC-UDI;BC-UG;BC-FG;Abstentions;BlancsNuls
0;0.14666666666666667;0.19666666666666666;0.20333333333333334;0.0;0.0;0.0;0.4166666666666667;0.03666666666666667
1;0.16129032258064516;0.2967741935483871;0.0;0.0;0.0;0.0;0.4967741935483871;0.04516129032258064
2;0.18216175359032502;0.30763416477702193;0.0;0.0;0.0;0.0;0.45351473922902497;0.05668934240362812
3;0.17852684144818975;0.2009987515605493;0.12983770287141075;0.0;0.0;0.0;0.46941323345817726;0.02122347066167291
4;0.13728129205921938;0.30686406460296095;0.0;0.0;0.0;0.0;0.4979811574697174;0.05787348586810229
5;0.1267605633802817;0.28169014084507044;0.0;0.0;0.0;0.0;0.5305164319248826;0.06103286384976526
6;0.08333333333333333;0.4861111111111111;0.041666666666666664;0.0;0.0;0.0;0.375;0.013888888888888888
7;0.16066481994459833;0.24930747922437674;0.0;0.0;0.0;0.0;0.518005540166205;0.07202216066481995
8;0.1506276150627615;0.3514644351464435;0.0;0.0;0.0;0.0;0.4560669456066946;0.04184100418410042
9;0.12269938650306748;0.44785276073619634;0.0;0.0;0.0;0.0;0.37423312883435583;0.05521472392638037
10;0.1450653983353151;0.3448275862068966;0.0;0.0;0.0;0.0;0.469678953626635;0.04042806183115339
11;0.15112540192926044;0.3579849946409432;0.0;0.0;0.0;0.0;0.4533762057877814;0.03751339764201501
12;0.2159090909090909;0.13068181818181818;0.17897727272727273;0.0;0.0;0.0;0.45170454545454547;0.022727272727272728
13;0.13307984790874525;0.23574144486692014;0.0;0.0;0.0;0.0;0.5399239543726235;0.09125475285171103
14;0.17647058823529413;0.1895424836601307;0.19607843137254902;0.0;0.0;0.0;0.42483660130718953;0.013071895424836602
15;0.15808383233532936;0.3125748502994012;0.0;0.0;0.0;0.0;0.481437125748503;0.04790419161676647
16;0.16193853427895982;0.32269503546099293;0.0;0.0;0.0;0.0;0.46926713947990545;0.04609929078014184
17;0.16254036598493002;0.38858988159311086;0.0;0.0;0.0;0.0;0.38751345532831;0.061356297093649086
18;0.13074204946996468;0.39693757361601884;0.0;0.0;0.0;0.0;0.43109540636042404;0.04122497055359246
19;0.18513689700130379;0.3155149934810952;0.0;0.0;0.0;0.0;0.4445893089960887;0.054758800521512385
20;0.12318840579710146;0.286231884057971;0.0;0.0;0.0;0.0;0.5398550724637681;0.050724637681159424
21;0.22362869198312235;0.3333333333333333;0.0;0.0;0.0;0.0;0.37130801687763715;0.07172995780590717
22;0.19269340974212035;0.14398280802292263;0.18553008595988538;0.0;0.0;0.0;0.45988538681948427;0.01790830945558739
23;0.18333333333333332;0.33055555555555555;0.0;0.0;0.0;0.0;0.43333333333333335;0.05277777777777778
24;0.22503725782414308;0.19523099850968703;0.14754098360655737;0.0;0.0;0.0;0.4083457526080477;0.02384500745156483
25;0.21100917431192662;0.3119266055045872;0.0;0.0;0.0;0.0;0.38073394495412843;0.0963302752293578
26;0.20462046204620463;0.2376237623762376;0.15181518151815182;0.0;0.0;0.0;0.38283828382838286;0.0231023102310231
27;0.12463199214916584;0.2698724239450442;0.19921491658488713;0.0;0.0;0.0;0.39646712463199213;0.009813542688910697
28;0.21176470588235294;0.5176470588235295;0.0;0.0;0.0;0.0;0.21176470588235294;0.058823529411764705
29;0.19348659003831417;0.08812260536398467;0.23563218390804597;0.0;0.0;0.0;0.4540229885057471;0.028735632183908046
30;0.10402219140083217;0.29542302357836336;0.20804438280166435;0.0;0.0;0.0;0.3814147018030513;0.011095700416088766
31;0.1934065934065934;0.14505494505494507;0.24835164835164836;0.0;0.0;0.0;0.3868131868131868;0.026373626373626374
32;0.1353558926487748;0.28004667444574094;0.0;0.0;0.0;0.0;0.5239206534422404;0.060676779463243874
33;0.1791044776119403;0.31343283582089554;0.0;0.0;0.0;0.0;0.4216417910447761;0.08582089552238806
34;0.19279661016949154;0.2754237288135593;0.0;0.0;0.0;0.0;0.4713983050847458;0.06038135593220339
35;0.1832579185520362;0.12895927601809956;0.2330316742081448;0.0;0.0;0.0;0.4276018099547511;0.027149321266968326
36;0.1656222023276634;0.1665174574753805;0.22829006266786034;0.0;0.0;0.0;0.41987466427931963;0.019695613249776187
37;0.0;0.27298850574712646;0.1336206896551724;0.0;0.0;0.0;0.5531609195402298;0.040229885057471264
38;0.0;0.3290960451977401;0.1271186440677966;0.0;0.0;0.0;0.5155367231638418;0.02824858757062147
39;0.0;0.27586206896551724;0.1454272863568216;0.0;0.0;0.0;0.5517241379310345;0.026986506746626688
40;0.0;0.22358722358722358;0.21375921375921375;0.0;0.0;0.0;0.5184275184275184;0.044226044226044224
41;0.0;0.1949367088607595;0.1810126582278481;0.0;0.0;0.0;0.5645569620253165;0.05949367088607595
42;0.0;0.19309462915601022;0.23145780051150894;0.0;0.0;0.0;0.5217391304347826;0.05370843989769821
43;0.0;0.15842839036755388;0.17870722433460076;0.0;0.0;0.0;0.605830164765526;0.057034220532319393
44;0.0;0.21656050955414013;0.20382165605095542;0.0;0.0;0.0;0.5197452229299363;0.05987261146496815
45;0.0;0.17297297297297298;0.1445945945945946;0.0;0.0;0.0;0.6378378378378379;0.0445945945945946
46;0.0;0.2690513219284603;0.16951788491446346;0.0;0.0;0.0;0.52099533437014;0.04043545878693624
47;0.0;0.28160919540229884;0.13793103448275862;0.0;0.0;0.0;0.5172413793103449;0.06321839080459771
48;0.0;0.2687074829931973;0.141156462585034;0.0;0.0;0.0;0.5306122448979592;0.05952380952380952
49;0.0;0.12;0.3;0.0;0.0;0.0;0.57;0.01
