CODDPT;CODCAN;CODSUBCOM;CODBURVOT;BC-FG;BC-FN;BC-SOC;BC-UD;BC-UDI;BC-UG
18;15;1;0001;0.0;0.7439024390243902;0.0;1.7682926829268293;0.0;0.0
18;8;2;0001;0.0;1.9859154929577465;0.0;4.704225352112676;0.0;0.0
18;14;3;0001;0.0;0.2037037037037037;0.0;0.4027777777777778;0.0;0.0
18;15;4;0001;0.0;0.33578431372549017;0.0;0.6691176470588235;0.0;0.0
18;11;5;0001;0.0;0.4575757575757576;0.0;1.093939393939394;0.0;0.0
18;17;6;0001;0.0;1.2758620689655173;0.0;3.8735632183908044;0.0;0.0
18;10;7;0001;0.0;3.227272727272727;0.0;5.5;0.0;0.0
18;17;8;0001;0.0;1.2297297297297298;0.0;1.7567567567567568;0.0;0.0
18;8;9;0001;0.0;1.2583333333333333;0.0;2.625;0.0;0.0
18;8;10;0001;0.0;1.1505376344086022;0.0;1.6989247311827957;0.0;0.0
18;1;11;0001;0.0;0.3131067961165049;0.0;0.39805825242718446;0.0;0.0
18;1;11;0002;0.0;0.08842105263157894;0.0;0.13894736842105262;0.0;0.0
18;2;12;0001;0.0;0.572972972972973;0.0;0.8756756756756757;0.0;0.0
18;9;13;0001;0.0;0.4639175257731959;0.0;0.6391752577319587;0.0;0.0
18;16;14;0001;0.0;0.8953488372093024;0.0;1.686046511627907;0.0;0.0
18;1;15;0001;0.0;0.3460559796437659;0.0;0.5190839694656488;0.0;0.0
18;1;15;0002;0.0;0.47560975609756095;0.0;0.5756097560975609;0.0;0.0
18;1;15;0003;0.0;0.271484375;0.0;0.353515625;0.0;0.0
18;1;15;0004;0.0;0.13169642857142858;0.0;0.09151785714285714;0.0;0.0
18;1;15;0005;0.0;0.0703125;0.0;0.21614583333333334;0.0;0.0
18;14;16;0001;0.0;0.672566371681416;0.5575221238938053;0.40707964601769914;0.0;0.0
18;9;17;0001;0.0;2.037878787878788;1.9621212121212122;1.5227272727272727;0.0;0.0
18;2;18;0001;0.0;0.17421124828532236;0.2784636488340192;0.3772290809327846;0.0;0.0
18;14;19;0001;0.0;0.5459459459459459;0.6648648648648648;0.24864864864864866;0.0;0.0
18;16;20;0001;0.0;0.23097112860892388;0.29658792650918636;0.1732283464566929;0.0;0.0
18;9;21;0001;0.0;0.7017543859649122;0.6929824561403509;0.7192982456140351;0.0;0.0
18;16;22;0001;0.0;0.24444444444444444;0.23333333333333334;0.22777777777777777;0.0;0.0
18;2;23;0001;0.0;0.08099173553719008;0.07768595041322314;0.03966942148760331;0.0;0.0
18;8;24;0001;0.0;0.0967741935483871;0.3225806451612903;0.1935483870967742;0.0;0.0
18;2;25;0001;0.0;0.13703703703703704;0.24074074074074073;0.14444444444444443;0.0;0.0
18;16;26;0001;0.0;0.12100456621004566;0.1232876712328767;0.08904109589041095;0.0;0.0
18;2;27;0001;0.0;0.1947565543071161;0.21348314606741572;0.2696629213483146;0.0;0.0
18;11;28;0001;0.0;0.2247191011235955;0.46348314606741575;0.32303370786516855;0.0;0.0
18;9;29;0001;0.0;0.19696969696969696;0.20454545454545456;0.30303030303030304;0.0;0.0
18;1;30;0001;0.0;0.06334841628959276;0.029411764705882353;0.07013574660633484;0.0;0.0
18;10;31;0001;0.0;0.2074688796680498;0.16597510373443983;0.22406639004149378;0.0;0.0
18;16;32;0001;0.0;0.027156549520766772;0.02875399361022364;0.03035143769968051;0.0;0.0
18;6;33;0001;0.0;0.48056537102473496;0.4628975265017668;0.5053003533568905;0.0;0.0
18;6;33;0002;0.0;0.05572755417956656;0.08978328173374613;0.06811145510835913;0.0;0.0
18;6;33;0003;0.0;0.2526690391459075;0.22419928825622776;0.1423487544483986;0.0;0.0
18;5;33;0004;0.0;0.12078651685393259;0.08707865168539326;0.06179775280898876;0.0;0.0
18;5;33;0005;0.0;0.013468013468013467;0.02356902356902357;0.0707070707070707;0.0;0.0
18;5;33;0006;0.0;0.05421686746987952;0.05120481927710843;0.1536144578313253;0.0;0.0
18;5;33;0007;0.0;0.424812030075188;0.48120300751879697;0.12030075187969924;0.0;0.0
18;5;33;0008;0.0;0.20909090909090908;0.3;0.3090909090909091;0.0;0.0
18;6;33;0009;0.0;0.1574468085106383;0.2723404255319149;0.46382978723404256;0.0;0.0
18;6;33;0010;0.0;0.09574468085106383;0.13829787234042554;0.08156028368794327;0.0;0.0
18;6;33;0011;0.0;0.13013698630136986;0.16095890410958905;0.10273972602739725;0.0;0.0
18;6;33;0012;0.0;0.3153526970954357;0.26556016597510373;0.1037344398340249;0.0;0.0
18;6;33;0013;0.0;0.9047619047619048;1.3571428571428572;0.9285714285714286;0.0;0.0
18;6;33;0014;0.0;0.08098591549295775;0.10915492957746478;0.09507042253521127;0.0;0.0
18;6;33;0015;0.0;0.3665338645418327;0.450199203187251;0.3784860557768924;0.0;0.0
18;6;33;0016;0.0;0.3483606557377049;0.44672131147540983;0.3524590163934426;0.0;0.0
18;6;33;0017;0.0;0.012987012987012988;0.02922077922077922;0.06493506493506493;0.0;0.0
18;6;33;0018;0.0;0.22556390977443608;0.462406015037594;0.2819548872180451;0.0;0.0
18;6;33;0019;0.0;0.16887417218543047;0.4105960264900662;0.19205298013245034;0.0;0.0
18;3;33;0020;0.0;0.2197452229299363;0.29936305732484075;0.2229299363057325;0.0;0.0
18;3;33;0021;0.0;0.0;0.625;0.40789473684210525;0.0;0.0
18;3;33;0022;0.0;0.0;0.8953488372093024;0.872093023255814;0.0;0.0
18;3;33;0023;0.0;0.0;0.37209302325581395;0.19933554817275748;0.0;0.0
