Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme_0;Nuance_0;Voix_0;%Voix/Exp_0;Binôme_1;Nuance_1;Voix_1;%Voix/Exp_1;Binôme_2;Nuance_2;Voix_2;%Voix/Exp_2;Binôme_3;Nuance_3;Voix_3;%Voix/Exp_3;Binôme_4;Nuance_4;Voix_4;%Voix/Exp_4;Binôme_5;Nuance_5;Voix_5;%Voix/Exp_5;Binôme_6;Nuance_6;Voix_6;%Voix/Exp_6;Binôme_7;Nuance_7;Voix_7;%Voix/Exp_7;Binôme_8;Nuance_8;Voix_8;%Voix/Exp_8;Binôme_9;Nuance_9;Voix_9;%Voix/Exp_9;Binôme_10;Nuance_10;Voix_10;%Voix/Exp_10;Binôme_11;Nuance_11;Voix_11;%Voix/Exp_11;Binôme_12;Nuance_12;Voix_12;%Voix/Exp_12;Binôme_13;Nuance_13;Voix_13;%Voix/Exp_13
10;5;Brienne-le-Château;10816;6644;4172;124;73;3975;Mme Angélique GUILLEMINOT;BC-DVD;1358.0;34.16;Mme Nathalie CARILLON;BC-DVD;1177.0;29.61;M. Yves COLLIN;BC-RN;716.0;18.01;Mme Véronique COLFORT;BC-LR;398.0;10.01;M. Didier GUENEAU;BC-UG;326.0;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6;Creney-près-Troyes;13138;8630;4508;89;94;4325;Mme Claude HOMEHR;BC-DVD;2410.0;55.72;M. Jean-François BOULARD;BC-RN;1368.0;31.63;Mme Gisèle MALAVAL;BC-UGE;547.0;12.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;7;Nogent-sur-Seine;10689;7121;3568;73;68;3427;Mme Estelle BOMBERGER - RIVOT;BC-DVC;1428.0;41.67;Mme Martine LEFÈVRE;BC-RN;1059.0;30.9;M. Robert GARNIER;BC-DVD;546.0;15.93;Mme Gwenaëlle BERCHER;BC-COM;394.0;11.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;8;Les Riceys;11195;6927;4268;148;78;4042;M. Jean-Michel HUPFER;BC-DVD;1966.0;48.64;M. Richard HENRY;BC-RN;1359.0;33.62;M. Florent BALLANFAT;BC-UG;717.0;17.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;9;Romilly-sur-Seine;11242;8252;2990;70;47;2873;M. Jérôme BONNEFOI;BC-LR;1339.0;46.61;Mme Laïla TABOUBI-GODIER;BC-RN;833.0;28.99;Mme Laura BOUTEILLER;BC-DVG;701.0;24.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;Saint-André-les-Vergers;16189;11529;4660;111;71;4478;M. Alain BALLAND;BC-UCD;2282.0;50.96;Mme Michèle BERTHIER;BC-RN;1151.0;25.7;Mme Caroline AUTIER;BC-UG;1045.0;23.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;11;Saint-Lyé;11904;7921;3983;126;62;3795;M. Jean-Marie CAMUT;BC-DVD;1711.0;45.09;Mme Béatrice DONDON;BC-RN;1149.0;30.28;M. Jean-Paul BRAUN;BC-ECO;544.0;14.33;Mme Isabelle AVRIL;BC-DVD;391.0;10.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;12;Troyes-1;9321;6943;2378;64;17;2297;Mme Elisabeth PHILIPPON;BC-LR;1094.0;47.63;M. David BLANCHON;BC-UGE;679.0;29.56;M. Philippe ARBONA;BC-RN;524.0;22.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;13;Troyes-2;13133;9639;3494;90;57;3347;M. Valéry DENIS;BC-DVD;1382.0;41.29;Mme Stéphanie CHAZELON;BC-UG;1017.0;30.39;M. Eric DONDON;BC-RN;839.0;25.07;M. Didier FREVILLE;BC-REM;109.0;3.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;14;Troyes-3;10437;7670;2767;61;45;2661;M. Olivier GIRARDIN;BC-UG;1033.0;38.82;Mme Hania KOUIDER-SAHED;BC-UD;777.0;29.2;Mme Mireille CAZARD;BC-RN;648.0;24.35;Mme Peggy BRISSET;BC-UGE;133.0;5.0;Mme Sophie CRETOL;BC-FI;70.0;2.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;15;Troyes-4;13467;9714;3753;105;69;3579;Mme Catherine BREGEAUT;BC-UCG;1838.0;51.36;M. Raphaël FONTAINE;BC-RN;966.0;26.99;Mme Virginie COUSIN;BC-UG;602.0;16.82;M. Bruno PELLERIN;BC-FI;173.0;4.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;16;Troyes-5;8761;6642;2119;44;23;2052;Mme Sybille BERTAIL;BC-UCD;1092.0;53.22;M. Mohamed Amine BEN MEHIDI;BC-UG;485.0;23.64;M. Jean-Marie BIARD;BC-RN;475.0;23.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;17;Vendeuvre-sur-Barse;16654;11063;5591;167;86;5338;M. Bertrand CHEVALIER;BC-UCD;2535.0;47.49;Mme Michèle AUBERT;BC-RN;1817.0;34.04;M. David MORIN;BC-UG;986.0;18.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;La Piège au Razès;14863;7774;7089;292;186;6611;Mme Marie-Christine BOURREL;BC-UGE;4661.0;70.5;Mme Christelle DE L'EPINOIS;BC-RN;1950.0;29.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2;Carcassonne-1;9405;6118;3287;103;90;3094;M. Michel MOLHERAT;BC-UGE;1133.0;36.62;Mme Magali BARDOU;BC-DVD;1059.0;34.23;M. Dominique ESCRIVA;BC-RN;902.0;29.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
