CODDPT;CODCAN;CODSUBCOM;CODBURVOT;NBRINS;%VOTANTS;%EXPRIMES;%NULBLANCS;%ABSTENTIONS;BC-DLF;BC-DVD;BC-DVG;BC-FG;BC-FN;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP
18;15;1;0001;300;0.49333333333333335;0.48333333333333334;0.01;0.5066666666666667;0.0;0.0;0.0;0.09333333333333334;0.36333333333333334;0.15666666666666668;0.0;0.82;0.0;0.0;0.0
18;8;2;0001;155;0.5483870967741935;0.5096774193548387;0.03870967741935484;0.45161290322580644;0.0;0.0;0.0;0.23225806451612904;0.8516129032258064;0.32903225806451614;0.0;1.761290322580645;0.0;0.0;0.0
18;14;3;0001;1323;0.546485260770975;0.5170068027210885;0.02947845804988662;0.45351473922902497;0.0;0.0;0.0;0.027966742252456538;0.0854119425547997;0.02947845804988662;0.0;0.14890400604686319;0.0;0.0;0.0
18;15;4;0001;801;0.4794007490636704;0.45318352059925093;0.026217228464419477;0.5205992509363296;0.0;0.0;0.0;0.06367041198501873;0.16604244694132334;0.0449438202247191;0.0;0.2596754057428215;0.0;0.0;0.0
18;11;5;0001;744;0.4879032258064516;0.45161290322580644;0.036290322580645164;0.5120967741935484;0.0;0.0;0.0;0.11021505376344086;0.18413978494623656;0.08198924731182795;0.0;0.3709677419354839;0.0;0.0;0.0
18;17;6;0001;213;0.5023474178403756;0.48826291079812206;0.014084507042253521;0.49765258215962443;0.0;0.0;0.0;0.2300469483568075;0.5070422535211268;0.20187793427230047;0.0;1.1502347417840375;0.0;0.0;0.0
18;10;7;0001;72;0.5277777777777778;0.5138888888888888;0.013888888888888888;0.4722222222222222;0.0;0.0;0.0;0.8055555555555556;1.5416666666666667;0.5694444444444444;0.0;2.4722222222222223;0.0;0.0;0.0
18;17;8;0001;361;0.5041551246537396;0.4515235457063712;0.05263157894736842;0.49584487534626037;0.0;0.0;0.0;0.11080332409972299;0.48753462603878117;0.18282548476454294;0.0;0.5013850415512465;0.0;0.0;0.0
18;8;9;0001;239;0.5271966527196653;0.5146443514644351;0.012552301255230125;0.47280334728033474;0.0;0.0;0.0;0.1087866108786611;0.5564853556485355;0.19665271966527198;0.0;0.9832635983263598;0.0;0.0;0.0
18;8;10;0001;163;0.6012269938650306;0.5705521472392638;0.03067484662576687;0.3987730061349693;0.0;0.0;0.0;0.20245398773006135;0.558282208588957;0.17177914110429449;0.0;0.7300613496932515;0.0;0.0;0.0
18;1;11;0001;841;0.525564803804994;0.5112960760998811;0.014268727705112961;0.47443519619500596;0.0;0.0;0.0;0.0178359096313912;0.15219976218787157;0.04637336504161712;0.0;0.14863258026159334;0.0;0.0;0.0
18;1;11;0002;933;0.5401929260450161;0.5273311897106109;0.012861736334405145;0.45980707395498394;0.0;0.0;0.0;0.00857449088960343;0.04287245444801715;0.011789924973204717;0.0;0.06216505894962487;0.0;0.0;0.0
18;2;12;0001;352;0.48011363636363635;0.4602272727272727;0.019886363636363636;0.5198863636363636;0.0;0.0;0.0;0.13636363636363635;0.2556818181818182;0.05113636363636364;0.0;0.3494318181818182;0.0;0.0;0.0
18;9;13;0001;263;0.4448669201520912;0.4220532319391635;0.022813688212927757;0.5551330798479087;0.0;0.0;0.0;0.03802281368821293;0.1596958174904943;0.030418250950570342;0.0;0.18631178707224336;0.0;0.0;0.0
18;16;14;0001;153;0.5359477124183006;0.5294117647058824;0.006535947712418301;0.46405228758169936;0.0;0.0;0.0;0.26143790849673204;0.3790849673202614;0.2549019607843137;0.0;0.6535947712418301;0.0;0.0;0.0
18;1;15;0001;835;0.48263473053892214;0.4622754491017964;0.02035928143712575;0.5173652694610779;0.0;0.0;0.0;0.045508982035928146;0.1473053892215569;0.06706586826347305;0.0;0.18922155688622755;0.0;0.0;0.0
18;1;15;0002;846;0.5295508274231678;0.5059101654846335;0.02364066193853428;0.47044917257683216;0.0;0.0;0.0;0.09810874704491726;0.23167848699763594;0.0591016548463357;0.0;0.19030732860520094;0.0;0.0;0.0
18;1;15;0003;929;0.6243272335844995;0.5984930032292788;0.02583423035522067;0.3756727664155005;0.0;0.0;0.0;0.01829924650161464;0.12486544671689989;0.03767491926803014;0.0;0.15285252960172227;0.0;0.0;0.0
18;1;15;0004;849;0.5488810365135454;0.5241460541813898;0.024734982332155476;0.45111896348645464;0.0;0.0;0.0;0.01060070671378092;0.05771495877502945;0.0176678445229682;0.0;0.0447585394581861;0.0;0.0;0.0
18;1;15;0005;767;0.5436766623207301;0.5058670143415906;0.03780964797913951;0.45632333767926986;0.0;0.0;0.0;0.001303780964797914;0.03911342894393742;0.018252933507170794;0.0;0.09126466753585398;0.0;0.0;0.0
18;14;16;0001;276;0.4528985507246377;0.427536231884058;0.025362318840579712;0.5471014492753623;0.0;0.0;0.08695652173913043;0.0;0.21739130434782608;0.17391304347826086;0.0;0.10869565217391304;0.0;0.0;0.0
18;9;17;0001;237;0.6497890295358649;0.6286919831223629;0.02109704641350211;0.350210970464135;0.0;0.0;0.17721518987341772;0.0;1.0506329113924051;0.9746835443037974;0.0;0.6708860759493671;0.0;0.0;0.0
18;2;18;0001;1397;0.5118110236220472;0.4874731567644954;0.024337866857551897;0.4881889763779528;0.0;0.0;0.015032211882605583;0.0;0.09448818897637795;0.1474588403722262;0.0;0.18110236220472442;0.0;0.0;0.0
18;14;19;0001;360;0.5527777777777778;0.5416666666666666;0.011111111111111112;0.44722222222222224;0.0;0.0;0.2777777777777778;0.0;0.24722222222222223;0.09722222222222222;0.0;0.08333333333333333;0.0;0.0;0.0
