Code du département,Code du canton,Inscrits,Exprimés,% Abs/Ins,%BLCNUL/VOT,% Exp/Vot,BC-COM,BC-DIV,BC-DLF,BC-DVD,BC-DVG,BC-EXD,BC-EXG,BC-FG,BC-FN,BC-MDM,BC-PG,BC-RDG,BC-SOC,BC-UC,BC-UD,BC-UDI,BC-UG,BC-UMP,BC-VEC
1,22,22925,10764,51.44,0.033144704931285365,96.69,0.03818283166109253,0.024247491638795988,0.0,0.018115942028985508,0.0,0.0,0.0,0.0,0.3447603121516165,0.0,0.0,0.0,0.0,0.0,0.29738015607580826,0.0,0.21934225195094761,0.0,0.057971014492753624
1,23,16099,8047,47.79,0.04270758981679752,95.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994904933515596,0.0,0.0,0.0,0.0,0.0,0.3007331924940972,0.0,0.3997763141543432,0.0,0.0
2,1,15417,8026,44.87,0.05576470588235294,94.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.425242960378769,0.0,0.0,0.0,0.0,0.0,0.18876152504360827,0.0,0.3859955145776227,0.0,0.0
2,2,18391,8505,51.48,0.04695203944419543,95.3,0.0,0.0,0.0,0.0,0.09077013521457966,0.0,0.03833039388594944,0.0,0.3562610229276896,0.0,0.0,0.0,0.0,0.0,0.18706643151087596,0.0,0.32757201646090534,0.0,0.0
2,3,17637,8714,48.93,0.03253025424669701,96.75,0.0,0.0,0.0,0.14207023181087905,0.0,0.0,0.0,0.0,0.38776681202662383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47016295616249715,0.0,0.0
2,4,19996,10207,46.7,0.04222576710143568,95.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39717840697560497,0.0,0.0,0.0,0.0,0.0,0.2504163809150583,0.0,0.25609875575585384,0.0,0.09630645635348291
2,5,20006,10729,44.25,0.038102922718307335,96.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40879858327896357,0.0,0.0,0.0,0.0,0.0,0.0,0.21903252866063938,0.12424270668282225,0.2479261813775748,0.0
2,6,18207,9685,44.36,0.04402329483762708,95.6,0.04997418688693857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37687145069695405,0.0,0.0,0.0,0.0,0.0,0.3145069695405266,0.0,0.2586473928755808,0.0,0.0
2,7,16941,8912,44.45,0.05302305812347253,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44052962298025133,0.0,0.0,0.0,0.29230251346499103,0.0,0.26716786355475763,0.0,0.0,0.0,0.0
2,8,15687,7698,48.33,0.050333086602516654,94.97,0.0,0.0,0.0,0.09482982592881267,0.0,0.0,0.0,0.0,0.37905949597298,0.0,0.0,0.0,0.0,0.0,0.20979475188360613,0.0,0.3163159262146012,0.0,0.0
